https://www.CryptoDataDownload.com
Unix,Date,Symbol,Open,High,Low,Close,Volume SOL,Volume BTC,tradecount
1719273600000,2024-06-25,SOLBTC,0.0021948,0.0022675,0.0021768,0.0022098,253791.48,564.48631897,148938
1719187200000,2024-06-24,SOLBTC,0.0020354,0.002196,0.0019769,0.0021947,325848.228,674.93603054,147903
1719100800000,2024-06-23,SOLBTC,0.0020808,0.0020958,0.0020205,0.0020354,120293.652,246.85891202,79522
1719014400000,2024-06-22,SOLBTC,0.0020986,0.0021208,0.0020722,0.0020806,91628.373,191.81023884,74176
1718928000000,2024-06-21,SOLBTC,0.0020589,0.0021088,0.0020216,0.0020985,219234.315,451.62067257,154960
1718841600000,2024-06-20,SOLBTC,0.0020874,0.0021309,0.0020352,0.002059,189479.619,393.10770893,145692
1718755200000,2024-06-19,SOLBTC,0.0021082,0.0021615,0.0020748,0.0020875,195941.989,415.26830644,127991
1718668800000,2024-06-18,SOLBTC,0.0021548,0.0021599,0.0019821,0.0021083,441406.178,919.49810552,247317
1718582400000,2024-06-17,SOLBTC,0.0022689,0.0022708,0.0021338,0.0021547,188054.162,412.04028337,135088
1718496000000,2024-06-16,SOLBTC,0.0021973,0.0022699,0.002163,0.0022689,83263.478,184.27298864,65391
1718409600000,2024-06-15,SOLBTC,0.0021663,0.0021997,0.0021605,0.0021972,75864.24,165.56732903,67006
1718323200000,2024-06-14,SOLBTC,0.0022059,0.0022255,0.002129,0.0021663,165936.445,361.91667797,129270
1718236800000,2024-06-13,SOLBTC,0.0022729,0.0022729,0.0021893,0.0022058,132475.613,294.80676054,72351
1718150400000,2024-06-12,SOLBTC,0.0022184,0.0023256,0.0021743,0.002274,207138.897,469.79149781,98512
1718064000000,2024-06-11,SOLBTC,0.0022875,0.0023138,0.0021862,0.0022183,225008.886,506.97539819,100243
1717977600000,2024-06-10,SOLBTC,0.002328,0.0023284,0.0022743,0.0022873,89824.795,206.71402738,44010
1717891200000,2024-06-09,SOLBTC,0.0022769,0.0023792,0.0022637,0.0023277,101610.234,234.43782031,42883
1717804800000,2024-06-08,SOLBTC,0.0023429,0.0023561,0.00224,0.0022775,124077.006,287.49617326,66383
1717718400000,2024-06-07,SOLBTC,0.0024035,0.0024244,0.0022341,0.0023437,168430.772,395.37476027,79002
1717632000000,2024-06-06,SOLBTC,0.0024406,0.0024495,0.002385,0.0024033,73844.983,178.84123468,35833
1717545600000,2024-06-05,SOLBTC,0.0024349,0.0024615,0.002423,0.0024405,108977.726,265.82134983,48659
1717459200000,2024-06-04,SOLBTC,0.0023962,0.0024349,0.0023748,0.0024347,101766.258,244.03952803,41943
1717372800000,2024-06-03,SOLBTC,0.0024078,0.0024155,0.002363,0.0023963,90155.127,215.49527988,42370
1717286400000,2024-06-02,SOLBTC,0.0024517,0.0024618,0.002386,0.0024078,81513.085,197.54338938,46852
1717200000000,2024-06-01,SOLBTC,0.0024531,0.002477,0.0024468,0.0024516,50754.78,125.16434349,26884
1717113600000,2024-05-31,SOLBTC,0.0024415,0.002479,0.0024163,0.0024527,104768.921,257.11450285,62553
1717027200000,2024-05-30,SOLBTC,0.0024883,0.0025097,0.0024322,0.0024417,133094.244,327.53326309,77816
1716940800000,2024-05-29,SOLBTC,0.0024666,0.0025412,0.00245,0.0024883,122129.694,305.33060278,68270
1716854400000,2024-05-28,SOLBTC,0.0024505,0.00253,0.0024355,0.0024662,169009.671,418.0971531,97648
1716768000000,2024-05-27,SOLBTC,0.0023853,0.0024635,0.0023735,0.0024506,116111.552,281.74677282,69209
1716681600000,2024-05-26,SOLBTC,0.0024299,0.0024304,0.0023452,0.0023852,161316.011,383.97696695,72574
1716595200000,2024-05-25,SOLBTC,0.0024462,0.0024729,0.0024086,0.0024297,114119.623,278.85237111,59135
1716508800000,2024-05-24,SOLBTC,0.0025914,0.0025959,0.0024151,0.0024462,246568.886,611.47637362,129720
1716422400000,2024-05-23,SOLBTC,0.0025585,0.0026665,0.0024825,0.0025922,267048.015,681.2885657,129002
1716336000000,2024-05-22,SOLBTC,0.0025393,0.0026154,0.0025256,0.0025597,221037.296,567.99276721,122304
1716249600000,2024-05-21,SOLBTC,0.0026129,0.0026385,0.0025125,0.0025404,281779.277,720.2319665,130027
1716163200000,2024-05-20,SOLBTC,0.0025657,0.0026939,0.0025374,0.0026138,303929.469,803.01867925,152023
1716076800000,2024-05-19,SOLBTC,0.0025764,0.0026135,0.0024878,0.0025649,123058.139,314.61800812,68233
1715990400000,2024-05-18,SOLBTC,0.0025286,0.002618,0.002525,0.0025765,161152.371,416.07193676,102977
1715904000000,2024-05-17,SOLBTC,0.0024424,0.002605,0.0024409,0.0025278,229641.982,578.72125336,105146
1715817600000,2024-05-16,SOLBTC,0.0023939,0.002482,0.0023837,0.002442,226101.784,552.41606868,102253
1715731200000,2024-05-15,SOLBTC,0.002307,0.0023957,0.0022969,0.0023941,184154.561,432.02090881,91567
1715644800000,2024-05-14,SOLBTC,0.0023438,0.0023919,0.0023005,0.0023069,137987.26,323.40363045,65245
1715558400000,2024-05-13,SOLBTC,0.0023331,0.0023769,0.002264,0.0023438,180836.188,419.61524199,97421
1715472000000,2024-05-12,SOLBTC,0.0023905,0.0024203,0.0023325,0.002333,83551.491,198.35400924,56164
1715385600000,2024-05-11,SOLBTC,0.0024024,0.0024176,0.0023606,0.0023907,77519.041,184.80193986,44834
1715299200000,2024-05-10,SOLBTC,0.0024191,0.002459,0.0023811,0.0024024,169288.504,410.6033854,74336
1715212800000,2024-05-09,SOLBTC,0.0023234,0.0024313,0.0023111,0.0024195,136897.352,323.6687981,62005
1715126400000,2024-05-08,SOLBTC,0.0023758,0.0023915,0.0022769,0.0023231,155676.996,364.64272788,71344
1715040000000,2024-05-07,SOLBTC,0.0024201,0.0024749,0.0023731,0.0023756,170713.827,415.13978387,76846
1714953600000,2024-05-06,SOLBTC,0.0022766,0.0024511,0.0022765,0.0024199,211992.042,505.45149919,83927
1714867200000,2024-05-05,SOLBTC,0.0022868,0.002308,0.0022688,0.0022765,112433.848,257.14525367,36092
1714780800000,2024-05-04,SOLBTC,0.0022852,0.002332,0.0022701,0.0022862,97532.443,224.00563018,41651
1714694400000,2024-05-03,SOLBTC,0.0023291,0.002371,0.0022736,0.0022851,159029.295,368.94826231,84448
1714608000000,2024-05-02,SOLBTC,0.0023078,0.002374,0.0022411,0.0023303,252706.936,584.918243,114291
1714521600000,2024-05-01,SOLBTC,0.0020893,0.0023269,0.0020575,0.0023074,338604.279,736.64667634,195847
1714435200000,2024-04-30,SOLBTC,0.0021575,0.0021627,0.0020258,0.0020894,311824.152,653.52424245,174046
1714348800000,2024-04-29,SOLBTC,0.0021859,0.0021947,0.0021252,0.0021574,141684.606,306.39291316,97904
1714262400000,2024-04-28,SOLBTC,0.002227,0.002261,0.0021812,0.0021859,133227.87,297.77207706,72448
1714176000000,2024-04-27,SOLBTC,0.0021832,0.0022545,0.002125,0.002227,192445.06,420.94390496,117791
1714089600000,2024-04-26,SOLBTC,0.0022461,0.00226,0.0021761,0.0021832,157302.74,350.3675799,103342
1714003200000,2024-04-25,SOLBTC,0.0022987,0.0023118,0.0022444,0.0022459,200909.33,458.22702964,130809
1713916800000,2024-04-24,SOLBTC,0.00233,0.0023965,0.002265,0.0022987,260829.78,612.16606366,176054
1713830400000,2024-04-23,SOLBTC,0.0023489,0.0023959,0.0023144,0.0023301,130346.42,306.98412029,120906
1713744000000,2024-04-22,SOLBTC,0.0022911,0.0023618,0.0022681,0.0023485,151825.85,352.76644916,81117
1713657600000,2024-04-21,SOLBTC,0.0023285,0.0023449,0.0022803,0.0022915,114969.92,265.34687793,68655
1713571200000,2024-04-20,SOLBTC,0.002232,0.0023449,0.002207,0.0023287,178485.47,404.7500737,88599
1713484800000,2024-04-19,SOLBTC,0.0022383,0.0022866,0.0021394,0.0022314,344297.26,764.63351549,161857
1713398400000,2024-04-18,SOLBTC,0.0021514,0.0022653,0.0020975,0.0022379,295512.72,642.70417584,135442
1713312000000,2024-04-17,SOLBTC,0.0021354,0.00224,0.0021025,0.0021511,369047.34,799.25212829,156349
1713225600000,2024-04-16,SOLBTC,0.0021836,0.0022015,0.0020501,0.0021358,351369.59,747.96600023,140185
